temperature,humidity,wind_speed,rainfall,visibility,road_condition,soil_moisture,mining_activity_level,transport_delay_hours
28.3,63.2,11.3,2.7,8.7,6,45.7,7,2.0
31.5,46.1,18.7,0.7,14.2,8,30.7,9,0.8
26.7,75.6,9.2,7.9,4.5,4,60.1,5,3.9
29.7,56.5,13.5,1.4,10.8,7,40.8,7,1.6
32.4,40.5,21.5,0.3,14.7,8,29.3,9,0.6
24.5,86.7,7.5,16.5,2.5,3,77.2,4,8.0
27.4,69.3,10.7,4.9,6.2,5,58.2,6,4.5
30.1,49.5,16.7,1.2,11.7,7,38.5,8,1.3
33.1,38.0,23.9,0.0,16.2,9,20.9,9,0.1
22.6,88.5,5.9,22.7,1.5,1,84.7,2,10.3
26.9,73.1,9.7,7.7,4.8,4,59.1,5,4.4
28.7,61.2,12.0,2.3,7.7,6,52.3,6,3.0
31.9,43.1,19.9,0.5,13.6,8,34.2,8,1.5
25.8,79.1,8.1,11.5,3.4,4,67.5,5,5.6
29.2,58.3,12.7,1.6,9.3,6,43.6,7,1.8
32.8,39.3,22.5,0.0,15.6,9,24.1,9,0.3
24.3,87.2,7.0,18.2,2.2,2,79.8,3,8.7
27.6,66.7,11.0,3.7,6.4,5,57.3,6,3.8
30.5,48.1,17.6,0.9,12.4,7,37.7,8,1.2
23.8,84.3,6.8,17.1,2.3,2,78.1,3,7.9
28.0,62.8,11.4,2.4,8.4,6,46.9,7,2.1
31.2,45.7,18.4,0.6,14.4,8,29.6,9,1.0
26.5,74.5,8.9,8.0,4.2,4,62.5,5,4.6
29.8,55.3,14.0,1.1,10.6,7,40.5,7,1.5
32.1,41.6,20.9,0.4,14.9,8,30.9,9,0.8
24.7,85.9,7.8,15.8,2.6,3,76.8,4,7.7
27.1,68.2,10.5,4.3,5.6,5,56.9,6,4.1
30.6,50.1,16.8,1.0,11.6,7,39.1,8,1.4
33.3,37.7,24.2,0.0,16.8,9,21.8,9,0.2
22.4,88.8,5.2,22.9,1.3,1,86.3,2,10.6
